Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
哨,哨,shào,tiêu / tiếu / sáo
哭,哭,kū,khốc / khóc
哺,哺,bǔ,bộ / phô
哿,哿,gě,khả / cả
咪,咪,mī,mị / mễ
咬,咬,yǎo,giảo / rao
咯,咯,gē,lạc / khách / khạc
咳,咳,hāi,khái / cay
咷,咷,táo,đào / trệu
咻,咻,xiū,hủ / hưu / hiu
咽,咽,yàn,ế / yến / yết / nhằn
哄,哄,hōng,hống / họng
嘵,哓,xiāo,hiêu / nghêu
嘹,嘹,liáo,liệu / rêu
噀,噀,xùn,tốn / sún
噍,噍,jiào,tiêu / tiếu / tưu
噙,噙,qín,cầm / gầm
噢,噢,ō,úc / ủ
噤,噤,jìn,cấm / gặm
噥,哝,nóng,nông / nũng
嗛,嗛,qiǎn,hàm / khiểm / khem
嗢,嗢,wà,ồn / ốt
嗧,嗧,jiālún,gia / lôn
嘆,叹,tàn,thán / han
嘍,喽,lóu,lâu / làu
嘑,嘑,hū,hô / hố
嘖,啧,zé,trách / sách
嘬,嘬,zuō,chối / toát
喫,吃,chī,khiết / khịt
喭,喭,yàn,ngạn / ngán
單,单,dān,thiện / đan / thiền / đơn
嗃,嗃,hè,hạc / hao / gào
嗄,嗄,shà,hạ / sá / chới
嗉,嗉,sù,tố / nhố
嗎,吗,ma,mạ / mửa
嗔,嗔,chēn,điền / sân / xin
善,善,shàn,thiện / thiến
喋,喋,dié,điệp / nhịp
喑,喑,yīn,âm / ấm / ầm
喒,喒,zá,gia / tàm
喔,喔,ō,ác / ộc
喜,喜,xǐ,hí / hỉ
喝,喝,hē,hát / ới
喪,丧,sàng,tang / táng
土,土,tǔ,thổ / độ / đỗ
圩,圩,wéi,vu / vò
圬,圬,wū,ô / hũ
圭,圭,guī,khuê / quê
圮,圮,pǐ,bĩ / dãy
圯,圯,yí,di / dãy
圾,圾,jī,sắc / ngập
址,址,zhǐ,chỉ / xởi
囝,囝,jiǎn,nga / cưỡng / tể / kiển / niên
回,回,huí,hối / hồi
囡,囡,nān,nam / niếp
囱,囱,cōng,thông / song
圃,圃,pǔ,phố / bo
圍,围,wéi,vi / vè
圏,圏,quān,quyển / khuyên
圜,圜,huán,hoàn / viên
嚏,嚏,tì,đế / sí
嚕,噜,lǔ,lỗ / rô / rủa
嚥,咽,yàn,yết / nhằn
嚦,呖,lì,lịch / rích
嚨,咙,lóng,lung / lùng
嚮,向,xiàng,hướng / hưởng
嚶,嘤,yīng,anh / inh
囂,嚣,xiāo,hiêu / hiu
噦,哕,huì,hối / oẹ / uyết
噪,噪,zào,táo / tháo
噫,噫,yī,y / ái / ức
噬,噬,shì,phệ / phè
噲,哙,kuài,khoái / gọi
噶,噶,gá,cát / gắt
噸,吨,dūn,đồn / đốn
嚅,嚅,rú,nhu / nheo
墜,坠,zhuì,truỵ / trụy
墮,堕,duò,huy / đoạ / đọa
墳,坟,fén,phần / phẫn / bổn
壅,壅,yōng,ung / ủng
壈,壈,lǎn,lẫm / bậm
壘,垒,lěi,lũy / luật / luỹ
壙,圹,kuàng,khoảng / khoáng
壚,垆,lú,lư / lò
埶,埶,yì,nghệ / đệm
培,培,péi,bồi / bậu
堤,堤,dī / tí,chỉ / đê
場,场,chǎng,trường / tràng
塗,涂,tú,đồ / trà
塞,塞,sāi,tái / tắc
塡,塡,tián,điền / trần / điễn / trấn
填,填,tián,điền / trần / điễn / trấn
垓,垓,gāi,giai / cai / gay
垠,垠,yín,ngân / hằn
垢,垢,gòu,cấu / cáu
埂,埂,gěng,canh / ghềnh
埄,埄,běng,canh / đãng / bổng
埕,埕,chéng,trình / chĩnh
埝,埝,niàn,niệm / nấm
埰,采,cài,thái / thải
坂,坂,bǎn,phản / phẳng
均,均,jūn,quân / vận
坏,坯,huài,phôi / hoại / bùi
坟,坟,fén,phần / vun
坦,坦,tǎn,thản / đất
坵,坵,qiū,khâu / gò
坻,坻,dǐ,trì / để
垃,垃,lā,lạp / lắp
妮,妮,nī,ni / ny
妯,妯,zhóu,trục / dâu / trừu
妲,妲,dá,đát / dát
妻,妻,qī,thế / thê
姊,姊,zǐ,tỉ / chị
始,始,shǐ,thí / thuỷ / thủy
姍,姗,shān,tiên / san
姐,姐,jiě,thư / tả
契,契,qì,tiết / khiết / khế / khất
奥,奥,ào,áo / úc
女,女,nǚ,nhữ / nứ / nữ / nữa
奶,奶,nǎi,nãi / nái
好,好,hǎo,háo / hiếu / hảo
妍,妍,yán,nghiên / ngơn
妥,妥,tuǒ,thỏa / thoả
妨,妨,fáng,phương / phướng
大,大,dà,thái / đại
夫,夫,fū,phu / phù
夭,夭,yāo,yểu / yêu
夷,夷,yí,di / dì
夸,夸,kuā,khoa / khỏa
奄,奄,yǎn,yểm / yêm / ăm
奇,奇,qí,kì / cơ / kỳ
奉,奉,fèng,bổng / phụng
壬,壬,rén,nhâm / nhăm
壼,壸,kǔn,hồ / khổn
处,处,chù,xử / xứ
夏,夏,xià,hạ / giá / giạ
够,够,gòu,hú / cú
夠,够,gòu,hú / cú
夢,梦,mèng,mông / mộng
夤,夤,yín,di / dần
孒,孒,jué,quyết / củng
孛,孛,bèi,bột / bụt
孟,孟,mèng,mãng / mạnh
季,季,jì,quý / quí
孥,孥,nú,nô / nua
孫,孙,sūn,tôn / tốn
孶,孶,zī,tư / tứ
孺,孺,rú,nhụ / nhọ
嫗,妪,yù,ẩu / ủ
嫩,嫩,nèn,non / nộn
嬈,娆,ráo,nhiêu / nhiễu / liểu
嬛,嬛,huán,hoàn / huyên
嬭,嬭,nǎi,nãi / nễ
嬲,嬲,niǎo,điểu / niễu
嬸,婶,shěn,thẩm / thím
子,子,zǐ,tý / tử / tí
娩,娩,miǎn,miễn / vãn
婁,娄,lóu,lũ / lâu / lu
婭,娅,yà,á / ả
媒,媒,méi,môi / mối
媛,媛,yuàn,viên / viện
媽,妈,mā,ma / má / mụ
嫂,嫂,sǎo,tẩu / dâu
嫖,嫖,piáo,phiêu / phếu
姒,姒,sì,tự / tỉ
委,委,wěi,uy / ủy / uỷ
姤,姤,gòu,cấu / cạu
姥,姥,lǎo,mỗ / mụ
姨,姨,yí,di / dì
姪,姪,zhí,điệt / đẹt
娓,娓,wěi,vãi / vỉ
娣,娣,dì,đệ / đễ
屈,屈,qū,quật / khuất
屎,屎,shǐ,hi / thỉ
屛,屛,píng,bình / bính
屠,屠,tú,đồ / chư
屣,屣,xǐ,tỉ / xí
層,层,céng,tằng / tầng
屬,属,shǔ,chú / chúc / thuộc
屯,屯,tún,đồn / truân
對,对,duì,đỗi / đối
少,少,shǎo,thiếu / thiểu
尨,尨,máng,mang / mông
尸,尸,shī,thi / thây
尹,尹,yǐn,duẫn / doãn
尻,尻,kāo,cừu / khào
尼,尼,ní,ni / nật / nặc / nệ
居,居,jū,cư / kí
宿,宿,sù,túc / tú
寄,寄,jì,kí / gửi
寔,寔,shí,thực / thật
實,实,shí,thực / thật
寧,宁,níng,trữ / ninh
射,射,shè,dịch / dạ / xạ
將,将,jiāng,thương / tương / tướng
尉,尉,wèi,uất / úy
它,它,tā,tha / xà
守,守,shǒu,thú / thủ
宓,宓,mì,phục / mật
定,定,dìng,đính / định
宛,宛,wǎn,uyên / uyển
害,害,hài,hạt / hại
家,家,jiā,gia / cô
容,容,róng,dong / dung
帙,帙,zhì,trật / pho
帝,帝,dì,đế / đấy
帥,帅,shuài,suất / súy / soái
帶,带,dài,đái / đai
帽,帽,mào,mạo / mão
幀,帧,zhèng,tranh / tránh
幅,幅,fú,bức / phúc
幔,幔,màn,mạn / màn
巨,巨,jù,cự / há
差,差,chà / chā,si / sái / sai / soa
己,己,jǐ,kỉ / kỷ
巽,巽,xùn,tốn / rốn
帆,帆,fān / fán,phàm / phâm
希,希,xī,hy / hơi
帑,帑,tǎng,thảng / nô
帕,帕,pà,phách / mạt / phạ
崖,崖,yá,nhai / day
崙,仑,lún,lôn / son
嵎,嵎,yú,ngu / ngung / giủng
嶄,崭,zhǎn,tiệm / chởm
嶠,峤,jiào,kiêu / kiệu
嶷,嶷,yí,nghi / ngực
巋,岿,kuī,vị / khuy
左,左,zuǒ,tả / tá
山,山,shān,san / sơn
岣,岣,gǒu,cẩu / cu
岧,岧,tiáo,thiều / đèo
岱,岱,dài,đại / đồi
岵,岵,hù,hô / hỗ
岷,岷,mín,mân / dân
岸,岸,àn,ngạn / ngàn
峽,峡,xiá,giáp / hạp
廌,廌,zhì,trĩ / trãi
廑,廑,jǐn,cận / cần
廓,廓,kuò,khuếch / quách
廖,廖,liào,liêu / liệu
廚,厨,chú,trù / chù
廛,廛,chán,triền / chờn
廡,庑,wǔ,vũ / vu
廣,广,guǎng,quáng / quảng
度,度,dù,độ / đạc
座,座,zuò,tọa / toà
庫,库,kù,khố / kho
庭,庭,tíng,đình / thính
庳,庳,bì,bí / tì / bỉ
廁,厕,cè,trắc / xí
廂,厢,xiāng,sương / rương
廈,厦,shà,hạ / hè
幷,幷,bìng,bình / tinh
幹,干,gàn,can / cán
幻,幻,huàn,huyễn / ảo
幾,几,jǐ,kỉ / kí / ki
广,广,guǎng,yểm / nghiễm
庄,庄,zhuāng,trang / chăng
庋,庋,guǐ,quỷ / kĩ
序,序,xù,tự / tựa
幕,幕,mù,mạc / mộ / mán
幛,幛,zhàng,trướng / chướng
幡,幡,fān,phiên / phan
幢,幢,chuáng,choàng / chàng
幣,币,bì,tệ / giẻ
幬,帱,chóu,trù / đào
平,平,píng,bình / biền
年,年,nián,niên / nên
徂,徂,cú,tò / tồ
徇,徇,xùn,tuấn / tuân / tuẫn
後,后,hòu,hậu / hấu
徐,徐,xú,từ / chờ
從,从,cóng,tung / tụng / thung / túng / tòng
徠,徕,lái,lai / lại
御,御,yù,nhạ / ngự
復,复,fù,hạ / phục / phúc
彐,彐,jì,kí / ký / kệ / kẹ / mự
彙,汇,huì,vị / vựng
彡,彡,shān,sam / tiệm
彩,彩,cǎi,thái / thải
彬,彬,bīn,bân / băn
彭,彭,péng,bàng / bang / bành
彷,彷,páng / fǎng,bàng / phảng
彿,佛,fú,phất / phớt
弔,吊,diào,đích / điếu
引,引,yǐn,dẫn / dấn
弟,弟,dì,đệ / đễ
弧,弧,hú,hồ / o
弩,弩,nǔ,nỗ / nỏ
張,张,zhāng,trướng / trương
彈,弹,dàn,đàn / đạn
彊,彊,jiàng,cương / cưỡng / cường
廨,廨,xiè,giới / giải
廳,厅,tīng,thính / sảnh
延,延,yán,duyên / dang
建,建,jiàn,kiến / kiển
廾,廾,gǒng,củng / trấp
廿,廿,niàn,chấp / nhập
弁,弁,biàn,biện / bàn / biền
弊,弊,bì,tế / tệ
悉,悉,xī,tất / tạt
悔,悔,huǐ,hối / hổi
悛,悛,quān,thuân / thoăn
悝,悝,kuī,lý / khôi
悴,悴,cuì,tụy / xót
悶,闷,mèn,muộn / muốn
惇,惇,dūn,đôn / run
惋,惋,wǎn,oản / uyển
怵,怵,chù,truật / truột
恆,恒,héng,hằng / căng / cắng
恐,恐,kǒng,khủng / khúng
恒,恒,héng,hằng / căng / cắng
恣,恣,zì,thư / tứ
悁,悁,yuān,quyến / quyên
悄,悄,qiāo,tiễu / thiểu
悅,悦,yuè,duyệt / dột
忝,忝,tiǎn,thiểm / thỏm
怎,怎,zěn,chẩn / chẩm
怖,怖,bù,phố / bố
怛,怛,dá,đát / đắn
思,思,sī,tư / tai / tứ
怦,怦,pēng,phanh / bừng
怩,怩,ní,ny / náy
怫,怫,fú,phí / phật
徬,徬,páng,bàng / bạng
徯,徯,xī,hề / hễ
徴,徴,zhēng,chủy / trừng / trưng
徵,征,zhǐ / zhēng,chủy / trừng / trưng
徼,徼,jiào,yêu / kiêu / kiếu
忉,忉,dāo,đao / đau
忌,忌,jì,kí / kị
忖,忖,cǔn,thốn / thổn
慶,庆,qìng,khanh / khánh / khương
慸,慸,dì,đế / sại
憐,怜,lián,lân / liên / lanh
憤,愤,fèn,phẫn / phấn
憧,憧,chōng,sung / tráng
憨,憨,hān,hàm / hám
憮,怃,wǔ,vũ / hủ
懇,恳,kěn,khẩn / khấn
慟,恸,tòng,đỗng / đỏng
慣,惯,guàn,quán / quen
慤,悫,què,xác / khác
慮,虑,lǜ,lư / lự
慰,慰,wèi,uý / úy
慳,悭,qiān,san / khan / ghen
慴,慴,shè,điệp / tiệp / triệp
慵,慵,yōng,dong / thung / thuồng
愊,愊,bì,phức / bực
愒,愒,kài,khế / khái
愔,愔,yīn,am / âm
愜,惬,qiè,thiếp / khiếp
愬,愬,sù,sách / tố
愾,忾,kài,khải / hi / khái / hất
慊,慊,qiàn,khiết / khiểm
慚,惭,cán,tàm / tuồm
惕,惕,tì,dịch / thích
惜,惜,xī,tích / tiếc
惡,恶,è,ô / ác / ố
惴,惴,zhuì,chúy / nhoai
愀,愀,qiǎo,sậu / thiểu / xỉu
愆,愆,qiān,khiên / khiền
愈,愈,yù,dũ / rủ
愉,愉,yú,du / thâu
抃,抃,biàn,biện / biến / bện
抆,抆,wěn,vấn / vặn
抉,抉,jué,quyết / khoét
把,把,bǎ,bả / bã
抓,抓,zhuā,trảo / trao / co
折,折,zhé,đề / chiết
抨,抨,pēng,bình / phanh / banh
披,披,pī,phi / bia / phơ
托,托,tuō,thác / thước / thốc / thách / thướt
扛,扛,káng,giang / giăng
扢,扢,gǔ,cột / ngắt
扮,扮,bàn,phẫn / ban / bán
