Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt
齦,龈,kěn,ngân / khẩn
齧,啮,niè,khiết / niết
齲,龋,qǔ,củ / khủ
龍,龙,lóng,long / sủng
鷟,𬸦,zhuó,trạc / sạt
鸜,鸜,qú,cù / cò
鹼,碱,jiǎn,kiềm / thiêm / dảm
麂,麂,jǐ,kỉ / hoẵng
麃,麃,páo / biāo,tiêu / bào
麇,麇,jūn,quân / quần / khuân
麗,丽,lì,lệ / ly
黴,霉,méi,mi / vi
鴂,鴂,jué,quyết / quých
鴝,鸲,qú,cù / cu
鵒,鹆,yù,dục / cốc
鵠,鹄,hú,hộc / cốc
鶻,鹘,gú,cốt / hốt
鷂,鹞,yào,diêu / diều
鷓,鹧,zhè,gia / chá
鷞,鷞,shuāng,sương / sảng
鮠,𬶏,wéi,nguy / ngôi
鮭,鲑,guī,hài / khuê
鮮,鲜,xiān,tiên / tiển
鯖,鲭,zhēng,chinh / thinh
鰱,鲢,lián,liên / lươn / lờn
鱠,鲙,kuài,quái / khoái / gỏi
鱸,鲈,lú,lư / rô
鳶,鸢,yuān,diên / diều
侔,侔,móu,mâu / mầu
侖,仑,lún,lôn / lỏn
侗,侗,dòng,đồng / thống
依,依,yī,y / ỷ
侯,侯,hóu,hầu / hậu
侶,侣,lǚ,lữ / lứa
俐,俐,lì,lị / lợi
俑,俑,yǒng,dũng / dõng
低,低,dī,đê / đây
住,住,zhù,trụ / trú
佔,占,zhàn,chiêm / chiếm
佗,佗,tuó,đà / tha
佻,佻,tiāo,điêu / diêu / điệu
使,使,shǐ,sử / sứ
來,来,lái,lai / lãi
例,例,lì,lệ / lề
仰,仰,yǎng,ngưỡng / nhạng
价,价,jià,giới / giá
任,任,rèn,nhâm / nhậm
份,份,fèn,phần / phân
仿,仿,fǎng,phỏng / phảng
伎,伎,jì,kĩ / kỹ
伶,伶,líng,linh / rành
伺,伺,cì,tứ / tý
龐,庞,páng,bàng / lung
龕,龛,kān,khám / kham
龜,龟,guī,quân / quy / cưu
龠,龠,yuè,dược / thược
𤡮,𤡮,rán,nhiên / nhen
仆,仆,pū,phó / bọc
仔,仔,zǐ,tể / tử
令,令,lìng,linh / lệnh
冽,冽,liè,liệt / rét
准,准,zhǔn,chuẩn / chốn
凍,冻,dòng,đông / đống
凔,凔,chuàng,sương / sảng
几,几,jǐ,kỉ / kỷ
凭,凭,píng,bằng / bẵng
出,出,chū,xuất / xúy
函,函,hán,hàm / hòm
兢,兢,jīng,căng / cạnh
內,内,nèi,nạp / nội
兩,两,liǎng,lưỡng / lạng
共,共,gòng,cung / cộng
其,其,qí,kì / kỳ / ký / ki
冒,冒,mào,mạo / mặc
冠,冠,guān,quán / quan
冷,冷,lěng,lãnh / lạnh
儈,侩,kuài,quái / cúi
儘,尽,jǐn,tẫn / tận
先,先,xiān,tiên / tiến
兌,兑,duì,đoái / đoài
免,免,miǎn,miễn / vấn
兒,儿,ér,nghê / nhi
兙,兙,shí,khắc / thập
兛,兛,qiān,thiên / khắc
傘,伞,sǎn,tản / tàn
催,催,cuī,thôi / thòi
傳,传,chuán,truyền / truyện / truyến
僎,僎,zhuàn,soạn / chuyến
僑,侨,qiáo,kiều / quều
僝,僝,chán,sàn / sạn
僥,侥,jiǎo,nghiêu / nghẹo
儂,侬,nóng,nùng / nông
亢,亢,kàng,cương / kháng / cang
亨,亨,hēng,phanh / hưởng / hanh
亹,亹,wěi,môn / vỉ / mên
仃,仃,dīng,đinh / đừng
㑫,㑫,niàn,niệm / nộm
㑤,㑤,miáo,~miêu
㑥,㑥,yì,~dật
㑦,㑦,lì,~lệ
㑧,㑧,jì,~kệ
㑨,㑨,yǔ,~ủ
㑮,㑮,hún,~hồn
㑰,㑰,huì,~hội
㑱,㑱,rǎo,~nhiễu
㑙,㑙,dié,~điệp
㑚,㑚,nuó,~na
㑛,㑛,sù,~túc
㑜,㑜,yì,~dật
㑝,㑝,lòng,~lỏng
㑞,㑞,yìng,~ánh
㑟,㑟,běng,~bổng
㑣,㑣,lán,~lam
㑇,㑇,zhòu,~sậu
㑉,㑉,sù,~túc
㑊,㑊,yì,~dật
㑋,㑋,qióng,~cung
㑌,㑌,kuāng,~khuông
㑍,㑍,lèi,~lệ
㑎,㑎,nǎo,~não
㑗,㑗,shēn,~thân
㐳,㐳,wù,~ngột
㐵,㐵,rú,~nho
㐹,㐹,yì,~dật
㐺,㐺,yín,~ngân
㐼,㐼,chèng,~xứng
㑁,㑁,zhuō,~xấc
㑂,㑂,fǎng,~phỏng
㑃,㑃,ǎo,~áo
㒛,㒛,diào,~điếu
㒜,㒜,yǔ,~ủ
㒝,㒝,miè,~miệt
㒞,㒞,jùn,~tuấn
㒟,㒟,niǎo,~điểu
㒠,㒠,xiè,~tiết
㒡,㒡,yóu,~du
㒤,㒤,chè,~triệt
㒋,㒋,sī,~tư
㒌,㒌,qióng,~cung
㒍,㒍,léi,~luy
㒎,㒎,sà,~sát
㒑,㒑,kuǐ,~khuể
㒕,㒕,yāng,~ương
㒖,㒖,ǒu,~ngẫu
㒗,㒗,tái,~đài
㒁,㒁,yǔ,~ủ
㒂,㒂,zhuó,~trác
㒃,㒃,èr,~nhị
㒄,㒄,rǎn,~nhiễm
㒆,㒆,chì,~sế
㒈,㒈,hàn,~hán
㒉,㒉,tǎng,~thẳng
㒊,㒊,sè,~sắc
㑳,㑇,zhòu,~sậu
㑵,㑵,hàn,~hán
㑶,㐹,xì,~hệ
㑹,㑹,huì,~hội
㑻,㑻,mà,~mạ
㑾,㑾,yáo,~dao
㑿,㑿,zhào,~triệu
㒀,㒀,zhāi,~trai
㓞,㓞,qià,~kháp
㓡,㓡,fǔ,~phủ
㓢,㓢,luò,~lạc
㓣,㓣,qià,~kháp
㓤,㓤,qià,~kháp
㓦,㓦,bāi,~bẻ
㓧,㓧,gān,~can
㓯,㓯,lí,~ly
㓌,㓌,chēng,~xưng
㓎,㓎,qīn,~khâm
㓑,㓑,xìng,~hành
㓓,㓓,nán,~nam
㓖,㓖,bì,~tất
㓗,㓗,jié,~cát
㓜,㓜,yòu,~dứu
㓝,㓝,xíng,~hình
㒾,㒾,shì,~thị
㒿,㒿,lí,~li
㓁,㓁,wǎng,~võng
㓂,㓂,kòu,~khấu
㓄,㓄,zhèn,~trẫm
㓅,㓅,tīng,~thính
㓈,㓈,bìng,~tinh
㓊,㓊,dòng,~đông
㒦,㒦,lěi,~lỗi
㒩,㒩,luǒ,~khỏa
㒫,㒫,jì,~ký
㒰,㒰,quán,~toàn
㒵,㒵,mào,~mạo
㒷,㒷,guǎ,~quả
㒺,㒺,wǎng,~võng
㒻,㒻,mào,~mạo
㔚,㔚,jié,~kiếp
㔜,㔜,bá,~bạt
㔞,㔞,kuài,~khối
㔠,㔠,xiā,~hà
㔣,㔣,léi,~lôi
㔤,㔤,xìn,~tín
㔥,㔥,bài,~bại
㔦,㔦,yǎng,~dưỡng
㔌,㔌,zòu,~tấu
㔍,㔍,chuā,~sái
㔒,㔒,xí,~tập
㔓,㔓,jiǎn,~kiễng
㔕,㔕,jí,~tập
㔗,㔗,fèi,~phí
㔘,㔘,chù,~xúc
㔙,㔙,bēng,~banh
㓾,㓾,xī,~tây
㔀,㔀,lüè,~lược
㔁,㔁,dēng,~đăng
㔃,㔃,jué,~khoét
㔆,㔆,zàn,~tán
㔉,㔉,zhǔ,~chúc
㔊,㔊,zhǎn,~triển
㔋,㔋,jiān,~kiền
㓰,㓰,huà,~vạch
㓱,㓱,tóu,~đầu
㓲,㓲,piān,~thiên
㓳,㓳,dī,~đây
㓴,㓴,ruǎn,~nhuyễn
㓷,㓷,yì,~nhị
㓸,㓸,zhuō,~trác
㓹,㓹,ruì,~nhuế
㕎,㕎,kè,~hụp
㕏,㕏,chú,~trù
㕑,㕑,chú,~trù
㕒,㕒,wēi,~uy
㕕,㕕,huàn,~hoán
㕗,㕗,yòu,~dứu
㕘,㕘,cān,~xam
㕚,㕚,zhǎo,~trảo
㔿,㔿,zòu,~tấu
㕂,㕂,yín,~ngân
㕃,㕃,xī,~hi
㕄,㕄,zhǐ,~chỉ
㕇,㕇,lā,~lụp
㕈,㕈,yǐ,~nghĩ
㕉,㕉,kè,~hụp
㕊,㕊,fū,~phu
㔱,㔱,yǔ,~tủ
㔳,㔳,guǐ,~quỹ
㔴,㔴,yì,~dịch
㔵,㔵,xuǎn,~tuyển
㔷,㔷,lòu,~lũ
㔸,㔸,tī,~đề
㔺,㔺,shì,~thế
㔽,㔽,yào,~diệu
㔧,㔧,lǜ,~lự
㔨,㔨,bèi,~bối
㔩,㔩,è,~ngạc
㔬,㔬,zhuó,~đốt
㔭,㔭,chè,~triệt
㔮,㔮,nuó,~na
㔯,㔯,xuán,~tuyền
㔰,㔰,héng,~hằng
㖂,㖂,yì,~thé
㖃,㖃,hǒu,~hống
㖊,㖊,xún,~tầm
㖏,㖏,niè,~chiếp
㖐,㖐,wěi,~vĩ
㖔,㖔,tǔn,~thận
㖕,㖕,niè,~chiếp
㖖,㖖,niè,~chiếp
㕲,㕲,huá,~hoa
㕶,㕶,ň,~ng
㕷,㕷,huà,~thoại
㕹,㕹,fá,~phạt
㕺,㕺,xiāo,~hiu
㕻,㕻,pǒu,~phủ
㖀,㖀,lè,~sựt
㖁,㖁,lìn,~lận
㕥,㕥,shēn,~thân
㕧,㕧,xī,~sáp
㕩,㕩,pàng,~phừng
㕪,㕪,dǎn,~đảm
㕫,㕫,fǎng,~phỏng
㕬,㕬,gōng,~cung
㕮,㕮,fǔ,~phủ
㕱,㕱,yóu,~du
㕛,㕛,xù,~tự
㕜,㕜,shǐ,~sử
㕞,㕞,shuā,~loát
㕟,㕟,kuì,~quỹ
㕠,㕠,shuāng,~song
㕢,㕢,gài,~cái
㕣,㕣,yǎn,~thèm
㕤,㕤,qiú,~cầu
㗭,㗭,xī,~sáp
㗰,㗰,cóng,~tùng
㗲,𠵾,huò,~oác
㗳,㗳,tǎ,~tháp
㗵,㗵,xù,~tuất
㗷,㗷,sǎi,~thái
㗻,㗻,guō,~oà
㗼,㗼,yè,~dạ
㗣,㗣,tì,~thế
㗤,㗤,cù,~xúc
㗥,㗥,kuò,~khuếch
㗦,㗦,láo,~rao
㗧,㗧,zhì,~chợt
㗨,㗨,xiē,~xa
㗫,㗫,qiè,~mép
㗬,㗬,zhā,~cha
㗃,㗃,wěn,~răn
㗄,㗄,kū,~khóc
㗈,㗈,màn,~man
㗊,㗊,jí,~tập
㗌,㗌,zhì,~chợt
㗓,㗓,zhuī,~duì
㗕,㗕,gòu,~cấu
㗗,㗗,bēi,~bôi
㖢,㖢,qí,~kì
㖩,㖩,jū,~cư
㖪,㖪,huò,~oác
㖶,㖶,yān,~yên
㖷,㖷,shí,~thực
㖸,㖸,xué,~cược
㖻,㖻,niú,~ngưu
㗀,㗀,yōu,~ưu
㘥,㘥,yóu,~nga
㘧,㘧,xù,~tự
㘫,㘫,jǐng,~cảnh
㘬,㘬,ào,~ao
㘲,㘲,jú,~cong
㘴,㘴,zuò,~tọa
㘵,㘵,bù,~phụ
㘷,㘷,ài,~ái
㘛,㘛,kān,~kham
㘜,㘜,chǐ,~xếch
㘝,㘝,niè,~nghiệt
㘞,㘞,huò,~hoạch
㘠,㘠,bì,~tất
㘡,㘡,xiá,~giáp
㘢,㘢,wěng,~ổng
㘣,㘣,xuán,~tuyền
㘌,㘌,jù,~câu
㘍,㘍,jí,~tập
㘐,㘐,pào,~pháo
㘔,㘔,sǎi,~thái
㘕,㘕,hǎn,~hảm
㘖,㘖,yán,~nhằn
㘗,㘗,qū,~khư
㘙,㘙,yán,~nhằn
㗽,㗽,xiǎng,~hưởng
㗿,㗿,hé,~hoà
㘁,㘁,yì,~thé
㘂,㘂,cí,~từ
㘆,㘆,tǎi,~đài
㘈,㘈,yì,~thé
㘉,㘉,zhì,~chợt
㘊,㘊,xī,~sáp
㙞,㙞,niè,~nồi
㙠,㙠,yī,~y
㙡,㙡,zōng,~tông
㙢,㙢,mán,~man
㙥,㙥,gùn,~côn
㙨,㙨,jì,~ký
㙪,㙪,yì,~đệm
㙫,㙫,jí,~tức
㙓,㙓,kuí,~quỳ
㙔,㙔,wěi,~duy
㙕,㙕,kuài,~khối
㙗,㙗,wēi,~uy
㙘,㙘,yāo,~yêu
㙚,㙚,xīng,~tinh
㙜,㙜,chí,~trì
㙝,㙝,xié,~tà
㙇,㙇,chù,~súc
㙈,㙈,xià,~hạ
㙉,㙉,tiǎn,~điễn
㙍,㙍,duō,~xuyết
㙏,㙏,fù,~phụ
㙐,㙐,duǒ,~đóa
㙑,㙑,yǔ,~vũ
㙒,㙒,yě,~dã
㘹,㘹,cí,~từ
㘺,㘺,fá,~phạt
㘿,㘿,niè,~nồi
㙀,㙀,liù,~lựu
㙁,㙁,méi,~thi
㙂,㙂,duì,~đỗi
㙃,㙃,bāng,~bựng
㙄,㙄,bì,~bị
㚟,㚟,chuò,~xước
㚠,㚠,xiāo,~tiêu
㚢,㚢,nú,~nô
㚤,㚤,yì,~ế
㚥,㚥,yú,~ngu
㚦,㚦,yí,~dì
㚧,㚧,yǎn,~yểm
㚨,㚨,shěn,~thím
㚍,㚍,kuǐ,~khuể
㚐,㚐,tào,~sáo
㚔,㚔,niè,~niếp
㚕,㚕,fú,~phù
㚘,㚘,bàn,~bận
㚚,㚚,kōng,~không
㚛,㚛,xì,~khích
㚝,㚝,zhuī,~duì
㙼,㙼,lěi,~luỹ
㚀,㚀,xī,~hè
㚂,㚂,nàng,~nang
㚃,㚃,yūn,~uân
㚅,㚅,lóng,~lung
㚆,㚆,fù,~hạ
㚇,㚇,zōng,~tông
㚌,㚌,huà,~thoại
㙯,㙯,yì,~đệm
㙰,㙰,xiè,~tiết
㙱,㙱,hào,~hạo
㙵,㙵,tái,~đài
㙷,㙷,zhí,~chấp
㙸,㙸,bào,~báo
㙹,㙹,méng,~mông
㙺,㙺,kuí,~quỳ
㛕,㛕,yì,~ế
㛖,㛖,suō,~sa
㛗,㛗,qiē,~thiết
㛘,㛘,pò,~phách
㛙,㛙,xīn,~tân
㛛,㛛,xìn,~tín
㛜,㛜,yóu,~du
㛝,㛝,bèi,~bối
㛃,㛃,jié,~tiệp
㛄,㛄,yī,~y
㛆,㛆,duò,~đoạ
㛊,㛊,duǒ,~đoá
㛍,㛍,qiè,~thiếp
㛎,㛎,lǚ,~lũ
㛒,㛒,dòu,~đậu
㛓,㛓,xī,~hi
㚹,㚹,mǎo,~mão
㚺,㚺,yùn,~uẩn
㚻,㚻,jī,~cơ
㚾,㚾,xiōng,~hung
㚿,㚿,páo,~bào
㛀,㛀,chú,~trâu
㛁,㛁,pēng,~phanh
㛂,㛂,nuǒ,~na
㚩,㚩,rǎn,~nhiễm
㚫,㚫,sà,~táp
㚭,㚭,yóu,~du
㚯,㚯,xín,~đàm
㚱,㚱,qiū,~thu
㚲,㚲,chān,~sọm
㚴,㚴,bù,~bộ
㚷,㚷,ěr,~nhĩ
㜋,㜋,yì,~ế
㜌,㜌,nǒu,~vú
㜎,㜎,xī,~hi
㜏,㛣,yún,~vân
㜒,㜒,yì,~ế
㜕,㜕,lián,~liêm
㜗,㜗,cān,~xan
㜘,㜘,jù,~cự
㛻,㛻,kuā,~khoa
㛼,㛼,chā,~xoa
㛿,㛿,zhì,~chất
㜄,㚯,xún,~tầm
㜆,㜆,mì,~mịch
㜇,㜇,huì,~hối
㜉,㜉,yōng,~ung
㜊,㜊,zhǎn,~triển
㛯,㛯,fàn,~phiến
㛱,㛱,wěi,~vãi
㛲,㛲,fà,~pháp
㛳,㛳,yì,~ế
㛴,㛴,nǎo,~não
㛵,㛵,chēng,~xưng
㛹,㛹,pián,~bền
㛺,㛺,ān,~am
㛞,㛞,lòng,~lỏng
㛣,㛣,yún,~vân
㛥,㛥,tà,~đạp
㛧,㛧,mǎn,~mãn
㛨,㛨,qiǎng,~cưỡng
㛩,㛩,zhóu,~dâu
㛫,㛫,xī,~hi
㛭,㛭,xī,~hi
㜿,㜿,xù,~tự
㝀,㝀,hào,~hạo
㝁,㝁,xuān,~huyên
㝂,㝂,zhì,~chí
㝃,㝃,miǎn,~miễn
㝅,㝅,gòu,~cấu
㝊,㝊,shǒu,~thủ
㝌,㝌,jiù,~cứu
㜳,㜳,huái,~hoài
㜴,㜴,mèng,~mộng
㜵,㜵,niǎo,~niệu
㜶,㜶,wǎn,~uyển
㜷,㜷,mí,~mi
㜸,㜸,niè,~nghiệt
㜺,㜺,zàn,~tán
㜼,㜼,zhí,~đẹt
㜧,㜧,yuè,~dược
㜨,㜨,nái,~nai
㜪,㜪,shēn,~thần
㜫,㜫,mà,~mạ
㜮,㜮,làn,~lạn
㜯,㜯,xī,~hi
㜰,㜰,yuè,~dược
㜲,㜲,wěng,~ổng
㜛,㜛,nèn,~non
㜝,㜝,ǎn,~an
㜞,㜞,qiàn,~tiệm
㜠,㜠,cuī,~thôi
㜡,㜡,cōng,~thông
㜣,㜣,rán,~nhiên
㜤,㜤,niǎn,~niễn
㜦,㜦,xín,~đàm
㞁,㞁,yào,~diệu
㞃,㞃,jì,~kế
㞅,㞅,luò,~lạc
㞆,㞆,jǐ,~kỉ
㞇,㞇,wěi,~vĩ
㞈,㞈,bō,~bát
㞌,㞌,yùn,~uẩn
㞎,㞎,bǎ,~ba
㝮,㝮,cuì,~thuý
㝴,㝴,wán,~hoàn
㝹,㝹,nóu,~nâu
㝻,㝻,jǐn,~cận
㝼,㝼,yū,~u
㝽,㝽,chuí,~thùy
㝿,㝿,bǒ,~bá
㞀,㞀,huī,~huy
㝙,㝙,yín,~dần
㝟,㝟,máo,~mao
㝡,㝡,zuì,~tuy
㝢,㝢,yǔ,~vũ
㝤,㝤,gòu,~cấu
㝥,㝥,mǐ,~mễ
㝪,㝪,diàn,~điếm
㝫,㝫,lóng,~lung
㝎,㝎,dìng,~định
㝐,㝐,róng,~dung
㝓,㝓,kè,~khách
㝔,㝔,yǎo,~yểu
㝕,㝕,níng,~trữ
㝖,㝖,yí,~di
㝗,㝗,láng,~lang
㝘,㝘,yóng,~ngong
㟁,㟁,àn,~ngàn
㟃,㟃,sī,~tư
㟅,㟅,yáng,~dương
㟇,㟇,cuò,~thó
㟉,㟉,láo,~lao
㟊,㟊,fú,~phù
㟋,㟋,duì,~đỗi
㟎,㟎,tuǒ,~thỏa
㞱,㞱,cōng,~thông
㞲,㞲,yòng,~vinh
㞴,㞴,chí,~trì
㞶,㞶,mǐn,~mẫn
㞸,㞸,suì,~tuế
㞺,㞺,zú,~chót
㞼,㞼,chéng,~thành
㟀,㟀,lián,~liêm
㞢,㞢,zhī,~chi
㞤,㞤,yín,~dần
㞥,㞥,cén,~sầm
㞧,㞧,huì,~hội
㞪,㞪,náo,~nao
㞫,㞫,jù,~cự
㞯,㞯,jié,~tiết
㞰,㞰,xǔ,~hủ
㞏,㞏,zhé,~trích
㞑,㞑,wěi,~vĩ
㞒,㞒,xiè,~tiết
㞓,㞓,qì,~khí
㞔,㞔,yí,~di
㞖,㞖,cí,~từ
㞚,㞚,qì,~khí
㞡,㞡,zhǎn,~triển
㟵,㟵,gǎng,~cương
㟶,㟶,yuán,~viên
㟷,㟷,da,~đáp
㟹,㟹,láo,~lao
㟺,㟺,lóu,~lưu
㟻,㟻,qiàn,~khảm
㟼,㟼,áo,~ngao
㟾,㟾,yōng,~ung
㟫,㟫,quán,~quyền
㟬,㟬,sǒu,~tẩu
㟭,㟭,mín,~mân
㟮,㟮,tū,~thóc
㟱,㟱,yǎo,~yểu
㟲,㟲,jué,~quyết
㟳,㟳,lì,~lịch
㟴,㟴,kuài,~khối
㟞,㟞,zhàn,~chiến
㟠,㟠,gǎng,~cương
㟢,㟢,qí,~kì
㟥,㟥,cēn,~sâm
㟦,㟦,yùn,~vận
㟨,㟨,duān,~đoan
㟩,㟩,mín,~mân
㟪,㟪,wēi,~nguy
㟐,㟐,mǎng,~mãng
㟑,㟑,bó,~bột
㟖,㟖,lòng,~lỏng
㟗,㟗,bīn,~tân
㟘,㟘,tiáo,~đèo
㟙,㟙,zé,~trách
㟛,㟛,zàn,~tán
㟜,㟜,mí,~mi
㠮,㠮,pēng,~phanh
㠯,㠯,yǐ,~dĩ
㠱,㠱,jì,~kị
㠲,㠲,bǐ,~bỉ
㠴,㠴,rèn,~nhận
㠵,㠵,huāng,~hoang
㠶,㠶,fán,~phiền
㠷,㠷,gé,~cách
㠝,㠝,cuán,~toàn
㠠,㠠,lú,~lô
㠡,㠡,niǎo,~điểu
㠢,㠢,huái,~hoài
㠥,㠥,lǜ,~luật
㠧,㠧,mǐ,~mị
㠨,㠨,yù,~dục
㠭,㠭,zhǎn,~triển
㠑,㠑,zuì,~tội
㠔,㠔,bài,~bại
㠕,㠕,wěi,~vĩ
㠖,㠖,yǐ,~nghĩ
㠘,㠘,yǔ,~tự
㠚,㠚,duì,~đỗi
㠛,㠛,wò,~hoạch
㠜,㠜,nì,~nật
㟿,㟿,mǎng,~mãng
㠂,㠂,áo,~ngao
㠅,㠅,fú,~phù
㠇,㠇,jiù,~thứu
㠈,㠈,rùn,~nhuần
㠊,㠊,qū,~khu
㠌,㠌,qī,~thê
㠍,㠍,jí,~tập
㡞,㡞,lóu,~lưu
㡡,㡡,chú,~trù
㡢,㡢,màn,~màn
㡣,㡣,lóng,~lung
㡥,㡥,yìn,~ấn
㡦,㡦,pīn,~phanh
㡨,㡨,jiān,~tiêm
㡪,㡪,nié,~niết
㡓,㡓,kūn,~côn
㡔,㡔,wù,~vụ
㡕,㡕,yīng,~anh
㡖,㡖,chuáng,~choàng
㡙,㡙,bī,~bức
㡚,㡚,gōu,~câu
㡜,㡜,xiè,~tiết
㡝,㡝,fèng,~phượng
㡉,㡉,xián,~nhàn
㡊,㡊,qià,~kháp
㡋,㡋,yé,~gia
㡌,㡌,mào,~mão
㡎,㡎,shān,~sam
㡏,㡏,shù,~thuật
㡑,㡑,qiāo,~thiêu
㡒,㡒,zhūn,~truân
㠸,㠸,kù,~khố
㠾,㠾,yuān,~uyên
㠿,㠿,zī,~tư
㡀,㡀,bì,~giẻ
㡁,㡁,kuǎ,~khoa
㡃,㡃,huāng,~hoang
㡄,㡄,xún,~tuân
㡇,㡇,zhé,~triếp
㢞,㢞,yì,~dị
㢟,㢟,chān,~sọm
㢣,㢣,jìng,~kính
㢥,㢥,dòng,~động
㢮,㢮,chí,~thỉ
㢯,㢯,diāo,~điêu
㢲,㢲,xùn,~tấn
㢳,㢳,lú,~lô
㢅,㢅,lòng,~lỏng
㢋,㢋,chǐ,~sỉ
㢍,㢍,yǐng,~nhánh
㢎,㢎,zhé,~trích
㢔,㢔,zǒng,~tổng
㢗,㢗,qiào,~tiếu
㢛,㢛,yàn,~diễm
㢝,㢝,sū,~tô
㡼,㡼,yì,~dị
㡽,㡽,zhào,~triệu
㡾,㡾,xiàn,~hiển
㡿,㡿,chì,~xích
㢀,㢀,cì,~thứ
㢁,㢁,chǐ,~sỉ
㢂,㢂,yǎn,~yểm
㢄,㢄,dòu,~đậu
㡫,㡫,yì,~dịch
㡮,㡮,jí,~tập
㡯,㡯,zhái,~trạch
㡰,㡰,yǔ,~dữu
㡱,㡱,jiǔ,~cửu
㡵,㡵,líng,~linh
㡸,㡸,zhà,~trá
㡹,㡹,jū,~cư
㣧,㣧,yìn,~ấn
㣫,㣫,zhǒng,~trủng
㣬,㣬,qì,~tập
㣭,㣭,zōng,~tông
㣰,㣰,xiè,~tiết
㣱,㣱,zé,~trách
㣶,㣶,zhān,~chiên
㣷,㣷,nìng,~nính
㣙,㣙,dí,~địch
㣛,㣛,tà,~thát
㣜,㣜,xíng,~hình
㣟,㣟,xì,~khích
㣠,㣠,tāo,~thao
㣢,㣢,tí,~đề
㣣,㣣,shàn,~thiện
㣥,㣥,zhì,~trĩ
㣅,㣅,zàn,~tán
㣆,㣆,mí,~di
㣇,㣇,yì,~dịch
㣈,㣈,sì,~tứ
㣍,㣍,tái,~đài
㣏,㣏,jìng,~tịnh
㣑,㣑,róng,~nhung
㣒,㣒,cèng,~thặng
㢴,㢴,xī,~tây
㢵,㢵,xié,~hiếp
㢸,㢸,bì,~bị
㢺,㢺,xián,~huyền
㢻,㢻,ruì,~nhuế
㣀,㣀,zhèn,~chẩn
㣂,㣂,è,~ngạc
㣃,㣃,yǔ,~vũ
㤭,㤭,jiāo,~kiêu
㤮,㤮,guàng,~cuống
㤱,㤱,fù,~phụ
㤲,㤲,qiè,~khiếp
㤴,㤴,chè,~triệt
㤵,㤵,cí,~từ
㤶,㤶,máng,~mang
㤷,㤷,hān,~hám
㤜,㤜,jué,~quyết
㤝,㤝,chōng,~sung
㤞,㤞,chà,~sá
㤟,㤟,kǒng,~khủng
㤢,㤢,yù,~dục
㤤,㤤,yú,~ngùng
㤪,㤪,yuàn,~nguyện
㤬,㤬,huì,~tuệ
㤌,㤌,gān,~can
㤍,㤍,qiāo,~tiễu
㤏,㤏,tóng,~đồng
㤑,㤑,yòu,~dứu
㤖,㤖,zhù,~chú
㤘,㤘,zhòu,~chú
㤙,㤙,ēn,~ân
㤛,㤛,nín,~nâm
㣻,㣻,yì,~ý
㣾,㣾,chà,~sá
㣿,㣿,zhuó,~chước
㤃,㤃,fáng,~phương
㤄,㤄,pèi,~phải
㤈,㤈,qìn,~khấm
㤉,㤉,qiā,~hạp
㤋,㤋,fēn,~phân
㥞,㥞,suì,~toại
㥟,㥟,xié,~hài
㥠,㥠,xū,~tu
㥡,㥡,chì,~thức
㥢,㥢,qiú,~cầu
㥣,㥣,huì,~tuệ
㥦,㥦,qiè,~khiếp
㥨,㥨,shuì,~thuế
㥒,㥒,cǎi,~thải
㥓,㥓,qī,~thích
㥔,㥔,yù,~dục
㥕,㥕,lián,~lanh
㥖,㥖,cōng,~thông
㥚,㥚,yú,~ngu
㥜,㥜,wèi,~uý
㥝,㥝,mǐ,~mễ
㥇,㥇,cán,~tàm
㥉,㥉,chè,~triệt
㥋,㥋,yī,~y
㥌,㥌,jú,~cúc
㥍,㥍,jì,~kị
㥎,㥎,lái,~lai
㥏,㥏,tiǎn,~thỏm
㥐,㥐,yuàn,~nguyện
㤸,㤸,xì,~ghét
㤹,㤹,qiú,~cầu
㤺,㤺,huǎng,~hoảng
㤽,㤽,chóu,~trù
㤾,㤾,sàn,~tản
㥀,㥀,zhí,~chấp
㥂,㥂,tè,~thắc
㥄,㥄,líng,~linh
㦝,㦝,miǎo,~miểu
㦞,㦞,chóu,~trù
㦟,㦟,mái,~mai
㦢,㦢,jié,~ghét
㦣,㦣,wèi,~uý
㦦,㦦,xì,~ghét
㦩,㦩,yǐn,~ẩn
㦪,㦪,xiè,~giải
㦑,㦑,xiàn,~hiến
㦒,㦒,lí,~lê
㦓,㦓,xiàn,~hiến
㦔,㦔,yàn,~diễm
㦕,㦕,lóng,~lung
㦗,㦗,jīn,~căm
㦘,㦘,jī,~kích
㦛,㦛,yǔ,~vũ
㥺,㥺,hé,~hoà
㥼,㥼,yìn,~ngận
㦁,㦁,lián,~lanh
㦃,㦃,chǎn,~sản
㦅,㦅,diē,~nhẹ
㦋,㦋,zhā,~tra
㦌,㦌,hū,~hốt
㦎,㦎,huò,~hoạch
㥩,㥩,duǒ,~đoá
㥮,㤘,zhòu,~chú
㥰,㥰,sāo,~tao
㥲,㥲,chēn,~xin
㥳,㥳,yuán,~viên
㥴,㥴,yí,~di
㥵,㥵,hùn,~hỗn
㥹,㥹,fěn,~phấn
㧏,㧏,gāng,~cương
㧒,㧒,yù,~vựa
㧔,㧔,guài,~quái
㧕,㧕,liǔ,~lữu
㧖,㧖,è,~ngột
㧘,㧘,zì,~chí
㧙,㧙,bì,~tất
㧜,㧜,liè,~xợp
㧃,㧃,shōu,~thu
